Timestamp,  Uptime, NCPU, CPU_Load, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1543874296, 0, 8, 2.38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.4, 16316264, 4013676, 11022456, 5991608, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874297, 1, 8, 2.38, 79.2, 10.0, 12.9, 8.0, 10.8, 8.2, 7.9, 11.9, 7.2, 32.4, 16316264, 4005984, 11037436, 6006584, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874298, 2, 8, 2.38, 80.0, 14.3, 8.1, 10.0, 6.0, 10.9, 12.6, 8.0, 13.0, 32.3, 16316264, 4005724, 11040068, 6009216, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874299, 3, 8, 2.35, 64.8, 5.2, 10.0, 7.1, 7.1, 4.2, 11.0, 9.0, 9.2, 32.4, 16316264, 4007232, 11037556, 6006704, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874300, 4, 8, 2.35, 89.6, 12.9, 12.0, 11.9, 11.3, 13.0, 10.2, 9.1, 12.5, 32.3, 16316264, 4007400, 11038764, 6007908, 0.0, 3999740, 0, 3999740, 0, 4, 0, 304, 0, 48
1543874301, 5, 8, 2.35, 93.6, 12.1, 9.6, 13.0, 12.1, 11.0, 10.3, 8.2, 14.3, 32.3, 16316264, 4007400, 11040176, 6009320, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874302, 6, 8, 2.35, 97.6, 9.0, 13.1, 11.9, 14.1, 13.1, 14.0, 10.9, 12.0, 32.3, 16316264, 4006692, 11048008, 6017152, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874303, 7, 8, 2.35, 82.4, 12.0, 9.0, 8.1, 15.7, 11.0, 6.2, 13.0, 7.4, 32.3, 16316264, 4008584, 11046072, 6015216, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874304, 8, 8, 2.56, 169.6, 20.8, 18.0, 21.4, 19.4, 21.6, 24.0, 23.8, 19.8, 32.5, 16316264, 4010680, 11020792, 5989936, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874305, 9, 8, 2.56, 100.8, 12.0, 13.9, 12.1, 10.8, 14.9, 15.7, 11.1, 11.5, 32.5, 16316264, 4010300, 11019872, 5989016, 0.0, 3999740, 0, 3999740, 0, 69, 0, 540, 0, 3520
1543874306, 10, 8, 2.56, 106.4, 13.7, 12.7, 13.3, 14.3, 11.2, 10.9, 12.7, 16.0, 32.5, 16316264, 4013612, 11008980, 5978124, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874307, 11, 8, 2.56, 96.0, 9.1, 14.3, 13.3, 14.7, 15.5, 6.3, 14.7, 8.2, 32.5, 16316264, 4013404, 11008916, 5978064, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
